Block,CrimeCount
0000X E 100 PL,21
0000X E 100 ST,24
0000X E 100TH PL,7
0000X E 100TH ST,10
0000X E 101 PL,4
0000X E 101 ST,17
0000X E 101ST PL,13
0000X E 101ST ST,7
0000X E 102 PL,11
0000X E 102 ST,11
0000X E 102ND PL,4
0000X E 102ND ST,11
0000X E 103 PL,7
0000X E 103 ST,19
0000X E 103RD PL,4
0000X E 103RD ST,22
0000X E 104 ST,12
0000X E 104TH ST,17
0000X E 105 ST,12
0000X E 105TH ST,1
0000X E 107 ST,6
0000X E 107TH ST,4
0000X E 108 ST,7
0000X E 108TH ST,4
0000X E 11 ST,3
0000X E 110 PL,12
0000X E 110 ST,9
0000X E 110TH PL,13
0000X E 110TH ST,5
0000X E 111 PL,5
0000X E 111 ST,54
0000X E 111TH ST,17
0000X E 112 PL,7
0000X E 112 ST,8
0000X E 112TH PL,14
0000X E 112TH ST,7
0000X E 113 PL,11
0000X E 113 ST,6
0000X E 113TH PL,4
0000X E 113TH ST,6
0000X E 114 PL,2
0000X E 114 ST,22
0000X E 114TH ST,2
0000X E 115 ST,23
0000X E 115TH ST,9
0000X E 116 ST,6
0000X E 116TH ST,3
0000X E 117 PL,3
0000X E 117 ST,1
0000X E 117TH PL,7
0000X E 117TH ST,3
0000X E 118 PL,11
0000X E 118 ST,7
0000X E 118TH PL,1
0000X E 118TH ST,13
0000X E 119 PL,4
0000X E 119 ST,9
0000X E 119TH PL,5
0000X E 119TH ST,6
0000X E 11TH ST,16
0000X E 120 PL,6
0000X E 120 ST,13
0000X E 120TH PL,7
0000X E 120TH ST,1
0000X E 121 PL,6
0000X E 121 ST,7
0000X E 121ST PL,1
0000X E 121ST ST,1
0000X E 122 PL,6
0000X E 122 ST,3
0000X E 122ND PL,4
0000X E 122ND ST,4
0000X E 123 ST,3
0000X E 123RD ST,4
0000X E 124 PL,3
0000X E 124 ST,5
0000X E 124TH PL,1
0000X E 124TH ST,2
0000X E 125 PL,1
0000X E 125TH PL,1
0000X E 126 ST,1
0000X E 13 ST,5
0000X E 13TH ST,11
0000X E 14 PL,6
0000X E 14 ST,1
0000X E 14TH PL,5
0000X E 14TH ST,6
0000X E 16 ST,12
0000X E 16TH ST,8
0000X E 18 ST,3
0000X E 18TH ST,4
0000X E 21 ST,14
0000X E 21ST ST,8
0000X E 22 ST,2
0000X E 23 ST,10
0000X E 23RD ST,11
0000X E 24 ST,4
0000X E 24TH ST,4
0000X E 25 ST,1
0000X E 25TH ST,4
0000X E 26 ST,4
0000X E 26TH ST,9
0000X E 28 ST,1
0000X E 29 ST,1
0000X E 29TH ST,2
0000X E 30 ST,1
0000X E 31 ST,1
0000X E 31ST ST,1
0000X E 32 ST,3
0000X E 32ND ST,3
0000X E 33 ST,1
0000X E 35 ST,30
0000X E 35TH ST,11
0000X E 36 PL,7
0000X E 36 ST,6
0000X E 36TH PL,5
0000X E 36TH ST,3
0000X E 37 PL,11
0000X E 37 ST,7
0000X E 37TH PL,5
0000X E 37TH ST,5
0000X E 38TH ST,1
0000X E 40 ST,2
0000X E 41 ST,7
0000X E 41ST ST,1
0000X E 42 ST,3
0000X E 42ND ST,6
0000X E 43 ST,20
0000X E 43RD ST,9
0000X E 44 ST,6
0000X E 44TH ST,1
0000X E 45 ST,6
0000X E 46 ST,9
0000X E 46TH ST,12
0000X E 47 ST,12
0000X E 47TH ST,8
0000X E 48 ST,12
0000X E 48TH ST,4
0000X E 49 ST,3
0000X E 49TH ST,5
0000X E 50 ST,7
0000X E 50TH ST,8
0000X E 51 ST,7
0000X E 51ST ST,7
0000X E 53 ST,3
0000X E 53RD ST,4
0000X E 55 ST,3
0000X E 56 ST,3
0000X E 56TH ST,3
0000X E 57 ST,10
0000X E 57TH ST,11
0000X E 58 ST,3
0000X E 58TH ST,4
0000X E 59 ST,12
0000X E 59TH ST,20
0000X E 60TH ST,3
0000X E 61 ST,9
0000X E 61ST ST,7
0000X E 63 ST,6
0000X E 63RD ST,8
0000X E 66TH ST,2
0000X E 67 ST,1
0000X E 68 ST,9
0000X E 68TH ST,1
0000X E 69 ST,13
0000X E 69TH ST,4
0000X E 70 ST,10
0000X E 70TH ST,10
0000X E 71 ST,13
0000X E 71ST ST,20
0000X E 72 ST,8
0000X E 72ND ST,5
0000X E 73 ST,2
0000X E 73RD ST,6
0000X E 74 ST,5
0000X E 74TH ST,4
0000X E 75 ST,78
0000X E 75TH ST,51
0000X E 76 ST,2
0000X E 76TH ST,3
0000X E 77 ST,4
0000X E 78 ST,4
0000X E 78TH ST,4
0000X E 79 ST,9
0000X E 79TH ST,14
0000X E 8 ST,16
0000X E 80 ST,10
0000X E 80TH ST,5
0000X E 81 ST,2
0000X E 81ST ST,2
0000X E 83 ST,3
0000X E 83RD ST,2
0000X E 84 ST,2
0000X E 84TH ST,1
0000X E 85 ST,7
0000X E 85TH ST,1
0000X E 86 ST,1
0000X E 86TH ST,1
0000X E 87 ST,25
0000X E 87TH ST,18
0000X E 88 ST,1
0000X E 88TH ST,2
0000X E 89 PL,4
0000X E 89 ST,3
0000X E 89TH PL,1
0000X E 89TH ST,2
0000X E 8TH ST,31
0000X E 9 ST,7
0000X E 90 ST,1
0000X E 90TH ST,1
0000X E 91 ST,8
0000X E 91ST ST,1
0000X E 93RD ST,1
0000X E 94 ST,5
0000X E 94TH ST,4
0000X E 95 ST,54
0000X E 95TH ST,18
0000X E 98 ST,3
0000X E 98TH PL,1
0000X E 98TH ST,1
0000X E 99 PL,7
0000X E 99TH PL,3
0000X E 9TH ST,23
0000X E ADAMS ST,112
0000X E BALBO AV,18
0000X E BALBO AVE,14
0000X E BANKS ST,2
0000X E BELLEVUE PL,40
0000X E BENTON PL,4
0000X E BRAYTON ST,10
0000X E CARVER PZ,2
0000X E CEDAR ST,37
0000X E CERMAK RD,55
0000X E CHESTNUT ST,48
0000X E CHICAGO AV,53
0000X E CHICAGO AVE,74
0000X E CONGRESS PKWY,22
0000X E CONGRESS PW,23
0000X E CULLERTON ST,18
0000X E DELAWARE PL,50
0000X E DIVISION ST,30
0000X E Delaware Pl,1
0000X E Division St,1
0000X E ELM ST,38
0000X E ERIE ST,27
0000X E Elm St,1
0000X E Elm st,1
0000X E GARFIELD BL,28
0000X E GARFIELD BLVD,49
0000X E GARFIELD BV,11
0000X E GOETHE ST,10
0000X E GRAND AV,145
0000X E GRAND AVE,166
0000X E Grand AVE,1
0000X E Grand Ave,5
0000X E HARRISON ST,24
0000X E HUBBARD ST,43
0000X E HURON ST,32
0000X E Huron St,1
0000X E IDA B WELLS DR,8
0000X E ILLINOIS ST,16
0000X E JACKSON BL,51
0000X E JACKSON BLVD,47
0000X E JACKSON BV,70
0000X E KINZIE ST,6
0000X E LAKE ST,154
0000X E LOWER WACKER DR,6
0000X E LOWER WACKER PL,7
0000X E MADISON ST,56
0000X E MARQUETTE RD,9
0000X E MONROE ST,145
0000X E NORTH AV,9
0000X E NORTH AVE,1
0000X E OAK ST,77
0000X E OHIO ST,207
0000X E ONTARIO ST,74
0000X E Oak St,7
0000X E Oak st,2
0000X E Ohio St,1
0000X E PEARSON ST,32
0000X E PERSHING RD,13
0000X E RANDOLPH ST,136
0000X E RIVERWALK S,2
0000X E ROOSEVELT RD,187
0000X E Roosevelt Rd,1
0000X E SCHILLER ST,9
0000X E SCOTT ST,30
0000X E STATE ST,1
0000X E SUPERIOR ST,38
0000X E VAN BUREN ST,24
0000X E WACKER DR,120
0000X E WACKER PL,27
0000X E WALTON ST,41
0000X E WASHINGTON ST,95
0000X E Wacker PL,1
0000X N ABERDEEN ST,12
0000X N ADA ST,8
0000X N ALBANY AV,13
0000X N ALBANY AVE,2
0000X N ASHLAND AV,6
0000X N ASHLAND AVE,7
0000X N AUSTIN AV,1
0000X N AUSTIN BL,4
0000X N AUSTIN BLVD,7
0000X N BESSIE COLEMAN DR,2
0000X N BISHOP ST,12
0000X N Bishop St,2
0000X N CALIFORNIA AV,10
0000X N CALIFORNIA AVE,2
0000X N CAMPBELL AV,5
0000X N CAMPBELL AVE,1
0000X N CANAL ST,7
0000X N CARPENTER ST,12
0000X N CENTRAL AV,41
0000X N CENTRAL AVE,34
0000X N CENTRAL PARK AV,1
0000X N CENTRAL PARK DR,1
0000X N CICERO AV,11
0000X N CICERO AVE,7
0000X N CLARK ST,41
0000X N CLINTON ST,6
0000X N DAMEN AV,6
0000X N DAMEN AVE,1
0000X N DEARBORN ST,61
0000X N DES PLAINES RIVER RD,1
0000X N DESPLAINES ST,6
0000X N ELIZABETH ST,3
0000X N FRANCISCO AV,9
0000X N FRANCISCO AVE,2
0000X N FRANKLIN ST,14
0000X N GARLAND CT,1
0000X N GREEN ST,4
0000X N HALSTED ST,21
0000X N HAMLIN AV,13
0000X N HAMLIN BL,31
0000X N HAMLIN BLVD,35
0000X N HERMITAGE AV,5
0000X N HERMITAGE AVE,1
0000X N HOMAN AV,13
0000X N HOMAN BL,4
0000X N HOMAN BLVD,22
0000X N HOYNE AV,14
0000X N HOYNE AVE,4
0000X N JEFFERSON ST,2
0000X N KARLOV AV,4
0000X N KARLOV AVE,4
0000X N KEDZIE AV,11
0000X N KEDZIE AVE,3
0000X N KEELER AV,7
0000X N KEELER AVE,15
0000X N KENTON AV,3
0000X N KENTON AVE,1
0000X N KILBOURN AV,12
0000X N KILBOURN AVE,4
0000X N KILDARE AV,5
0000X N KILDARE AVE,2
0000X N KILPATRICK AV,1
0000X N KILPATRICK AVE,2
0000X N KOSTNER AV,6
0000X N KOSTNER AVE,5
0000X N LA SALLE ST,70
0000X N LAKE SHORE DR,2
0000X N LAMON AV,17
0000X N LAMON AVE,5
0000X N LARAMIE AV,16
0000X N LARAMIE AVE,16
0000X N LATROBE AV,87
0000X N LATROBE AVE,8
0000X N LAVERGNE AV,45
0000X N LAVERGNE AVE,10
0000X N LEAVITT ST,8
0000X N LECLAIRE AV,18
0000X N LECLAIRE AVE,24
0000X N LOCKWOOD AV,18
0000X N LOCKWOOD AVE,10
0000X N LONG AV,57
0000X N LONG AVE,13
0000X N LOOMIS ST,6
0000X N LOREL AV,48
0000X N LOREL AVE,18
0000X N LOTUS AV,41
0000X N LOTUS AVE,18
0000X N LOWER WACKER DR,1
0000X N MASON AV,10
0000X N MASON AVE,10
0000X N MAY ST,11
0000X N MAYFIELD AV,33
0000X N MAYFIELD AVE,15
0000X N MENARD AV,18
0000X N MENARD AVE,13
0000X N MICHIGAN AV,33
0000X N MICHIGAN AVE,88
0000X N MORGAN ST,26
0000X N OAKLEY AV,1
0000X N OAKLEY BL,2
0000X N OAKLEY BLVD,3
0000X N OGDEN AV,1
0000X N OGDEN AVE,1
0000X N PARKSIDE AV,27
0000X N PARKSIDE AVE,15
0000X N PAULINA ST,17
0000X N PEORIA ST,12
0000X N PINE AV,81
0000X N PINE AVE,18
0000X N PULASKI RD,29
0000X N RACINE AV,3
0000X N RACINE AVE,2
0000X N RIVERSIDE PLZ,5
0000X N RIVERSIDE PZ,4
0000X N SACRAMENTO AV,13
0000X N SACRAMENTO BL,4
0000X N SANGAMON ST,7
0000X N SPRINGFIELD AV,1
0000X N STATE ST,681
0000X N State St,2
0000X N State st,1
0000X N TALMAN AV,37
0000X N TALMAN AVE,1
0000X N THROOP ST,6
0000X N WABASH AV,19
0000X N WABASH AVE,43
0000X N WACKER DR,52
0000X N WALLER AV,61
0000X N WALLER AVE,12
0000X N WASHTENAW AV,3
0000X N WELLS ST,47
0000X N WESTERN AV,55
0000X N WESTERN AVE,26
0000X N WOOD ST,1
0000X N Wacker Dr,3
0000X N state st,1
0000X S ABERDEEN ST,9
0000X S ALBANY AV,6
0000X S ALBANY AVE,8
0000X S ASHLAND AV,8
0000X S ASHLAND AVE,5
0000X S AUSTIN AV,1
0000X S AUSTIN BL,7
0000X S AUSTIN BLVD,13
0000X S BAGGAGE LN,1
0000X S CALIFORNIA AV,6
0000X S CALIFORNIA AVE,2
0000X S CAMPBELL AV,2
0000X S CANAL ST,7
0000X S CENTRAL AV,9
0000X S CENTRAL AVE,8
0000X S CENTRAL PARK BL,2
0000X S CENTRAL PARK BLVD,2
0000X S CICERO AV,24
0000X S CICERO AVE,12
0000X S CLARK ST,36
0000X S CLINTON ST,4
0000X S COLUMBUS DR,13
0000X S CONCOURSE C ST,1
0000X S CTA PEDWAY ST,2
0000X S DAMEN AV,2
0000X S DAMEN AVE,2
0000X S DEARBORN ST,76
0000X S DESPLAINES ST,10
0000X S DOOR 2 ST,1
0000X S DOOR 4 ST,1
0000X S FOOD COURT ST,1
0000X S FRANCISCO AV,3
0000X S FRANKLIN ST,8
0000X S GREEN ST,6
0000X S HALSTED ST,68
0000X S HAMLIN BL,4
0000X S HAMLIN BLVD,3
0000X S HOMAN AV,15
0000X S HOMAN AVE,17
0000X S HOYNE AV,15
0000X S HOYNE AVE,4
0000X S JEFFERSON ST,13
0000X S KARLOV AV,3
0000X S KARLOV AVE,2
0000X S KEDZIE AV,30
0000X S KEDZIE AVE,28
0000X S KEELER AV,14
0000X S KEELER AVE,1
0000X S KENTON AV,6
0000X S KENTON AVE,2
0000X S KILBOURN AV,2
0000X S KILDARE AV,8
0000X S KILDARE AVE,1
0000X S KILPATRICK AV,5
0000X S KILPATRICK AVE,1
0000X S KOSTNER AV,43
0000X S KOSTNER AVE,14
0000X S LA SALLE ST,88
0000X S LAFLIN ST,6
0000X S LAKE SHORE DR SB,1
0000X S LARAMIE AVE,3
0000X S LAVERGNE AV,9
0000X S LAVERGNE AVE,7
0000X S LEAMINGTON AV,12
0000X S LEAMINGTON AVE,8
0000X S LEAVITT ST,9
0000X S LOCKWOOD AV,2
0000X S LOCKWOOD AVE,1
0000X S LOTUS AV,3
0000X S LOTUS AVE,12
0000X S LOWER WACKER DR,1
0000X S Leavitt St,1
0000X S MASON AV,8
0000X S MASON AVE,5
0000X S MAYFIELD AV,30
0000X S MAYFIELD AVE,17
0000X S MENARD AV,6
0000X S MENARD AVE,10
0000X S MICHIGAN AV,19
0000X S MICHIGAN AVE,40
0000X S MIDWAY AIRFIELD ST,1
0000X S MIDWAY ST,12
0000X S MORGAN ST,7
0000X S Michigan ave,1
0000X S OAKLEY AV,11
0000X S OAKLEY BL,1
0000X S OAKLEY BLVD,4
0000X S Oakley Blvd,1
0000X S PARKING LOT MIDWAY ST,3
0000X S PARKSIDE AV,17
0000X S PARKSIDE AVE,6
0000X S PAULINA ST,6
0000X S PEORIA ST,4
0000X S PULASKI RD,59
0000X S RACINE AVE,4
0000X S RIVERSIDE PLZ,1
0000X S RIVERSIDE PZ,9
0000X S ROCKWELL ST,6
0000X S SACRAMENTO AV,9
0000X S SACRAMENTO BL,3
0000X S SACRAMENTO BLVD,3
0000X S SANGAMON ST,4
0000X S SEELEY AV,3
0000X S SEELEY AVE,5
0000X S SPAULDING AVE,5
0000X S SPRINGFIELD AV,10
0000X S SPRINGFIELD AVE,16
0000X S ST LOUIS AVE,1
0000X S STATE ST,393
0000X S Sangamon St,1
0000X S State St,1
0000X S THROOP ST,10
0000X S WABASH AV,62
0000X S WABASH AVE,55
0000X S WACKER DR,60
0000X S WALLER AV,5
0000X S WALLER AVE,2
0000X S WASHTENAW AV,1
0000X S WASHTENAW AVE,1
0000X S WELLS ST,5
0000X S WESTERN AV,17
0000X S WESTERN AVE,13
0000X S WHIPPLE ST,9
0000X S WOOD ST,4
0000X S WOODWARD DR,3
0000X S state st,1
0000X W 100 ST,1
0000X W 101ST ST,2
0000X W 102 ST,1
0000X W 103 PL,6
0000X W 103 ST,46
0000X W 103RD PL,12
0000X W 103RD ST,13
0000X W 104 PL,7
0000X W 104 ST,2
0000X W 104TH PL,4
0000X W 104TH ST,3
0000X W 105 ST,8
0000X W 105TH ST,4
0000X W 106 PL,1
0000X W 107 ST,11
0000X W 107TH ST,3
0000X W 108 PL,6
0000X W 108 ST,8
0000X W 108TH PL,3
0000X W 108TH ST,12
0000X W 109 PL,8
0000X W 109 ST,14
0000X W 109TH PL,17
0000X W 109TH ST,10
0000X W 110 PL,7
0000X W 110 ST,7
0000X W 110TH PL,11
0000X W 110TH ST,7
0000X W 111 PL,30
0000X W 111 ST,59
0000X W 111TH PL,12
0000X W 111TH ST,58
0000X W 112 PL,15
0000X W 112 ST,14
0000X W 112TH PL,10
0000X W 112TH ST,7
0000X W 113 PL,8
0000X W 113 ST,19
0000X W 113TH PL,3
0000X W 113TH ST,6
0000X W 114 PL,24
0000X W 114 ST,16
0000X W 114TH PL,8
0000X W 114TH ST,3
0000X W 115 ST,17
0000X W 115TH ST,4
0000X W 116 ST,4
0000X W 116TH ST,4
0000X W 118 ST,2
0000X W 118TH ST,2
0000X W 119 ST,12
0000X W 119TH ST,2
0000X W 120 ST,4
0000X W 120TH ST,2
0000X W 122 ST,1
0000X W 123 ST,8
0000X W 123RD ST,1
0000X W 124 ST,3
0000X W 124TH ST,3
0000X W 125 PL,3
0000X W 125 ST,1
0000X W 125TH PL,1
0000X W 125TH ST,4
0000X W 126 PL,5
0000X W 126TH PL,3
0000X W 127TH ST,2
0000X W 14 ST,1
0000X W 15 ST,5
0000X W 15TH ST,9
0000X W 15th ST,1
0000X W 16TH ST,10
0000X W 17 ST,1
0000X W 18TH ST,2
0000X W 19 ST,1
0000X W 23RD ST,1
0000X W 24 PL,1
0000X W 24 ST,56
0000X W 24TH ST,2
0000X W 26 PL,1
0000X W 26TH ST,13
0000X W 27TH ST,2
0000X W 30 ST,7
0000X W 30TH ST,1
0000X W 31 ST,9
0000X W 31ST ST,1
0000X W 33 ST,3
0000X W 33RD ST,2
0000X W 35 ST,108
0000X W 35TH ST,12
0000X W 36TH ST,10
0000X W 37 ST,1
0000X W 37TH ST,9
0000X W 40 ST,1
0000X W 40TH PL,13
0000X W 43 ST,3
0000X W 43RD PL,1
0000X W 43RD ST,5
0000X W 44TH ST,6
0000X W 45 ST,2
0000X W 47 ST,18
0000X W 47TH ST,34
0000X W 51 ST,2
0000X W 51ST ST,3
0000X W 55 ST,2
0000X W 57 PL,1
0000X W 57 ST,2
0000X W 57TH ST,1
0000X W 59 ST,13
0000X W 59TH ST,4
0000X W 60TH ST,1
0000X W 61ST ST,1
0000X W 63 ST,3
0000X W 63RD ST,3
0000X W 64 ST,1
0000X W 64TH ST,2
0000X W 68TH ST,1
0000X W 69 ST,67
0000X W 69TH ST,52
0000X W 70 ST,1
0000X W 71 ST,45
0000X W 71ST ST,56
0000X W 72 ST,2
0000X W 72ND ST,4
0000X W 73 ST,1
0000X W 73RD ST,2
0000X W 74 ST,4
0000X W 74TH ST,4
0000X W 75 ST,2
0000X W 75TH ST,5
0000X W 76 ST,2
0000X W 76TH ST,1
0000X W 77 PL,3
0000X W 77 ST,1
0000X W 77TH ST,1
0000X W 78 ST,4
0000X W 78TH PL,2
0000X W 78TH ST,3
0000X W 79 ST,363
0000X W 79TH ST,94
0000X W 80TH ST,3
0000X W 81 ST,7
0000X W 82 ST,3
0000X W 82ND ST,1
0000X W 83 ST,8
0000X W 83RD ST,10
0000X W 85TH ST,1
0000X W 87 ST,207
0000X W 87TH ST,79
0000X W 91 ST,1
0000X W 93 ST,1
0000X W 94 ST,2
0000X W 95 ST,210
0000X W 95TH ST,93
0000X W 98 ST,1
0000X W 99 ST,1
0000X W 9TH ST,1
0000X W ADAMS ST,23
0000X W BRAYTON ST,8
0000X W BURTON PL,9
0000X W CERMAK RD,43
0000X W CHECKPOINT 8 ST,1
0000X W CHESTNUT ST,15
0000X W CHICAGO AV,79
0000X W CHICAGO AVE,41
0000X W CONGRESS PKWY,30
0000X W CONGRESS PW,14
0000X W CTA 69TH ST LN,1
0000X W CTA 95TH ST LN,12
0000X W CTA OHARE PLATFORM ST,15
0000X W CULLERTON ST,7
0000X W Chicago Ave,1
0000X W DELAWARE PL,26
0000X W DIVISION ST,250
0000X W Division ST,1
0000X W Division st,1
0000X W ELM ST,129
0000X W ERIE ST,35
0000X W Elm St,2
0000X W Erie St,1
0000X W GARFIELD BL,16
0000X W GARFIELD BLVD,10
0000X W GARFIELD BV,2
0000X W GOETHE ST,11
0000X W GRAND AV,37
