Latitude,Longitude,CrimeCount
41.648686295,-87.617082068,6
41.650205777,-87.555863239,21
41.651206536,-87.54230338,6
41.651264337,-87.545925134,6
41.651431329,-87.527258234,58
41.651502472,-87.527619594,13
41.651699175,-87.527492734,69
41.65175347,-87.540031718,7
41.65196532,-87.604780448,6
41.651971307,-87.617085928,10
41.65221844,-87.618872496,8
41.653018135,-87.547151545,6
41.653083749,-87.55194424,8
41.653123877,-87.601825426,22
41.653273417,-87.551989517,8
41.653635736,-87.605072656,10
41.653671827,-87.599528571,8
41.653745791,-87.599937561,10
41.653752018,-87.604800565,12
41.653759968,-87.614343667,18
41.653780715,-87.675049485,13
41.654331122,-87.60741039,7
41.654420073,-87.602392578,6
41.654501419,-87.603533341,15
41.654559295,-87.544578655,6
41.654733332,-87.547148983,17
41.654766107,-87.544722501,7
41.654862306,-87.547147414,7
41.654913607,-87.608388191,6
41.655164679,-87.597370948,6
41.655619517,-87.616361219,9
41.655629709,-87.596706979,6
41.655715385,-87.604983361,7
41.655896078,-87.596305078,6
41.656157878,-87.590505709,9
41.656659397,-87.614128452,6
41.656818764,-87.614159613,8
41.656860248,-87.553197668,10
41.656990656,-87.597953958,8
41.657119829,-87.600561632,15
41.657160364,-87.616124566,7
41.657198985,-87.601786632,9
41.657212004,-87.606433915,10
41.657231338,-87.599543057,7
41.65724315,-87.605284515,11
41.65729576,-87.592047878,20
41.657321469,-87.606385112,6
41.657431467,-87.606420469,11
41.657450859,-87.615620004,6
41.657525882,-87.613573559,6
41.657906269,-87.599945251,6
41.658200656,-87.615275009,7
41.658424474,-87.551978488,25
41.658635903,-87.617297524,6
41.65904253,-87.61079375,6
41.659075774,-87.54969075,7
41.659125335,-87.559435391,8
41.659432501,-87.597856647,8
41.663180973,-87.641566108,10
41.663403306,-87.625793875,7
41.664016403,-87.641300981,11
41.664294511,-87.641455374,9
41.664592914,-87.63905866,8
41.664844559,-87.638920543,15
41.665814864,-87.558853882,40
41.666353813,-87.559418369,6
41.667083204,-87.62130674,8
41.667505513,-87.54956291,8
41.66945431,-87.634270271,12
41.669571297,-87.628262786,8
41.66959148,-87.637881304,6
41.670098332,-87.638194279,6
41.670596065,-87.636095316,11
41.670785516,-87.637015633,7
41.671350522,-87.650222861,7
41.67151084,-87.64306546,7
41.671731444,-87.640504609,6
41.671903369,-87.641710641,6
41.672334979,-87.650556517,6
41.672840353,-87.642816997,6
41.673138451,-87.617528467,7
41.673207966,-87.617674109,11
41.673412656,-87.652726676,6
41.673436088,-87.616848012,19
41.673451397,-87.61578269,9
41.673513626,-87.624929136,8
41.673548279,-87.616795523,15
41.673554115,-87.616411124,9
41.673637262,-87.641622534,6
41.673866586,-87.622535064,7
41.674469206,-87.634431971,8
41.674693048,-87.624824694,7
41.675033453,-87.657654813,7
41.675165651,-87.640676424,11
41.675284079,-87.624986591,8
41.675408814,-87.635959185,8
41.675523891,-87.641832941,10
41.675707893,-87.620296576,6
41.675895344,-87.641993685,8
41.676140623,-87.641709204,8
41.67618184,-87.620606145,12
41.676275164,-87.620608776,9
41.676338279,-87.62060808,12
41.676658707,-87.63570776,17
41.676723835,-87.616412553,8
41.676859948,-87.638121523,20
41.677052099,-87.635864574,6
41.677126214,-87.635867434,8
41.677223089,-87.640540887,11
41.677335622,-87.64054334,14
41.677427958,-87.667304587,12
41.677482363,-87.664386569,6
41.677593788,-87.664198727,9
41.677619207,-87.620498773,6
41.677661758,-87.652872258,19
41.677685826,-87.643101975,6
41.677703813,-87.641985312,11
41.677720696,-87.642054682,20
41.677729912,-87.640850259,7
41.677758474,-87.636947794,17
41.677773969,-87.637240472,11
41.677799762,-87.642881123,37
41.677830552,-87.620503762,15
41.677834205,-87.639941321,7
41.677857414,-87.627971019,7
41.677877142,-87.627608407,9
41.677927829,-87.631403865,9
41.678009875,-87.620655527,23
41.678079715,-87.627525662,8
41.678104219,-87.625263156,6
41.678167265,-87.620368265,9
41.678237739,-87.68073427,25
41.678427129,-87.680739677,13
41.678526874,-87.626159031,6
41.678566166,-87.620524929,6
41.678584421,-87.680891834,10
41.678854485,-87.639384936,6
41.678896236,-87.617995456,6
41.67908312,-87.669732828,7
41.679268926,-87.633508806,8
41.679622543,-87.62270967,10
41.679759298,-87.630219868,8
41.679829746,-87.620715982,13
41.679865148,-87.618021332,6
41.680418426,-87.662437948,26
41.680481664,-87.540099953,12
41.680498483,-87.627689588,13
41.680669396,-87.63862597,7
41.680692908,-87.662446079,10
41.680808821,-87.633561675,8
41.68086652,-87.62506082,16
41.680928486,-87.623983883,6
41.680947073,-87.538348068,6
41.680950591,-87.539651245,6
41.680951381,-87.627702944,15
41.681056663,-87.539115474,10
41.681096016,-87.642018558,6
41.681503697,-87.627817716,6
41.68151513,-87.620774263,13
41.682311995,-87.628951061,7
41.682334926,-87.620651734,12
41.682343181,-87.662604657,12
41.682508761,-87.62080357,15
41.682526098,-87.642065485,6
41.682547259,-87.636028545,6
41.682828957,-87.62867086,6
41.682835173,-87.643720542,6
41.682900514,-87.645923678,6
41.683227056,-87.655621514,6
41.68348848,-87.632855378,6
41.683669411,-87.622987302,7
41.683863581,-87.615809791,6
41.683875796,-87.725490546,7
41.683935861,-87.721810757,9
41.683935959,-87.721829061,19
41.683935959,-87.691574948,24
41.683936056,-87.721847364,13
41.683936056,-87.721829061,10
41.683938235,-87.721741177,17
41.683938235,-87.719512895,10
41.683938235,-87.581805682,11
41.683938235,-87.56386716,30
41.683969549,-87.650777654,6
41.683991318,-87.72502086,7
41.684035101,-87.722410209,8
41.684037164,-87.722282057,8
41.684037515,-87.72234795,6
41.684039578,-87.722219798,8
41.684151193,-87.655501989,8
41.684160442,-87.66269195,11
41.684218841,-87.620861583,26
41.684249034,-87.641981147,9
41.684452919,-87.627664687,6
41.684809877,-87.642147208,24
41.684818458,-87.666357064,6
41.6848407,-87.660286954,6
41.684857855,-87.652020316,6
41.684908865,-87.6166402,8
41.684942448,-87.660791108,10
41.684955439,-87.659729291,6
41.684992237,-87.620779831,7
41.684994388,-87.648672746,7
41.685024846,-87.642298668,25
41.685068588,-87.643184156,10
41.685070409,-87.643030376,8
41.685070486,-87.634416099,24
41.685077013,-87.635038394,6
41.685154594,-87.636516591,8
41.685167499,-87.627836266,7
41.685174376,-87.625829974,6
41.685240177,-87.629395052,7
41.685270462,-87.620948827,9
41.685332125,-87.622042783,8
41.685355291,-87.619582342,12
41.685396544,-87.611249468,10
41.685445045,-87.621664457,17
41.685468908,-87.619317495,6
41.685474655,-87.607964681,8
41.685499682,-87.616326119,7
41.685518617,-87.614524697,10
41.685522273,-87.614231776,21
41.685531754,-87.613554386,7
41.685565578,-87.642314848,11
41.68556748,-87.609629394,6
41.685678132,-87.642320965,15
41.685702753,-87.678875923,27
41.685953051,-87.620827806,6
41.685953959,-87.620974237,9
41.686029498,-87.632366526,6
41.686332268,-87.628921856,8
41.686413743,-87.642342382,58
41.686635264,-87.63359739,16
41.68680899,-87.642352797,6
41.686948769,-87.621636901,15
41.687024027,-87.619611492,25
41.687443568,-87.535276973,7
41.687527781,-87.67264817,8
41.687856011,-87.613085482,6
41.687955599,-87.621138873,12
41.688027804,-87.637404534,7
41.688107014,-87.537553324,48
41.688178549,-87.64833511,6
41.688218178,-87.537357913,10
41.688568521,-87.655788788,9
41.688610361,-87.609536712,7
41.688793342,-87.609395536,18
41.688810908,-87.625431334,9
41.688845582,-87.62794619,10
41.688917777,-87.618312804,8
41.688935417,-87.621153695,12
41.689007939,-87.613413124,6
41.689112768,-87.619218623,9
41.689149506,-87.621158656,6
41.689299703,-87.606574386,11
41.6893903,-87.669161934,19
41.689572458,-87.662723612,12
41.689873321,-87.62237719,13
41.689884156,-87.630384219,6
41.689936366,-87.637610961,135
41.68995741,-87.637460623,7
41.690113773,-87.61207908,10
41.690211495,-87.681253987,6
41.690316908,-87.612087794,8
41.69033294,-87.65019415,6
41.69033963,-87.6183593,10
41.690424115,-87.664292779,12
41.690490831,-87.659272466,10
41.690618302,-87.626586792,6
41.690691016,-87.625915979,6
41.690701233,-87.664282585,8
41.69073279,-87.626461055,6
41.690741459,-87.60067812,6
41.690746802,-87.621173989,9
41.690776721,-87.631839021,7
41.690817995,-87.612345811,8
41.69109431,-87.606111168,6
41.69113214,-87.669971476,6
41.691192118,-87.717740203,14
41.691314623,-87.717043381,7
41.691391971,-87.668394431,15
41.691413679,-87.668826246,14
41.691433152,-87.611976469,6
41.691549323,-87.624471329,6
41.691676842,-87.679781968,18
41.691681122,-87.679569567,6
41.691745892,-87.676010071,8
41.691922675,-87.642517754,9
41.692041778,-87.665923635,55
41.692096562,-87.642226645,6
41.69213742,-87.66585308,51
41.692159247,-87.663472957,7
41.692159834,-87.65468564,8
41.692233255,-87.652715044,10
41.692263017,-87.642525097,8
41.692358646,-87.623096746,12
41.692364149,-87.605987023,10
41.692378887,-87.621046145,13
41.692392678,-87.6299688,6
41.692451976,-87.624878818,36
41.692472536,-87.641314594,7
41.692535244,-87.623252243,36
41.692554745,-87.618429967,8
41.692558187,-87.621194285,23
41.692569761,-87.624397882,30
41.692576964,-87.623786349,25
41.692617553,-87.717949958,6
41.692625571,-87.598763795,16
41.69264212,-87.613522719,9
41.692659589,-87.617637943,7
41.692669318,-87.616997089,7
41.692674392,-87.620903752,8
41.69269264,-87.622964922,14
41.692705598,-87.621954231,8
41.692722515,-87.604507439,63
41.692742497,-87.612899161,9
41.692780068,-87.600611049,14
41.692786925,-87.620906172,9
41.692788991,-87.616384305,22
41.692833841,-87.60431945,58
41.692957314,-87.680065582,11
41.693005555,-87.654764624,6
41.693022265,-87.627915204,10
41.69315148,-87.66893651,9
41.693222269,-87.62118696,17
41.693256208,-87.623123486,7
41.693361793,-87.619347376,16
41.693421344,-87.620983384,18
41.69345068,-87.775138691,6
41.693783016,-87.613403816,9
41.693783605,-87.612184541,8
41.6938678,-87.612044465,6
41.693879672,-87.612187129,12
41.693960671,-87.621658468,12
41.694069602,-87.618427838,13
41.69407157,-87.62139728,10
41.694308451,-87.621094425,6
41.694364215,-87.61814264,8
41.694432948,-87.619928693,8
41.694738411,-87.538903237,8
41.694827679,-87.654745472,6
41.694904684,-87.657567706,8
41.694948466,-87.642316946,26
41.695029139,-87.620921705,6
41.69522655,-87.642467755,9
41.695308608,-87.62395405,7
41.695344333,-87.681418175,8
41.695379735,-87.627036301,6
41.695602347,-87.681426554,8
41.695768098,-87.612239266,8
41.695799448,-87.620785048,7
41.695799501,-87.654801165,7
41.695823004,-87.612242314,9
41.695850199,-87.609147971,10
41.695868128,-87.65294768,8
41.695908161,-87.595822806,76
41.695982095,-87.596653142,105
41.696049567,-87.628859771,13
41.696122002,-87.628141307,10
41.696187007,-87.626661308,7
41.696288722,-87.627136204,34
41.696514874,-87.639938431,13
41.696813839,-87.619737607,6
41.696850187,-87.656130283,6
41.696939372,-87.630757779,6
41.697365224,-87.618376694,9
41.697647241,-87.594839913,8
41.697798943,-87.61487497,8
41.697902387,-87.626243404,7
41.697941774,-87.628187337,6
41.697973602,-87.622218408,7
41.697977277,-87.621925431,7
41.697985396,-87.6210209,16
41.698186273,-87.619781023,7
41.698396034,-87.617325345,6
41.698541312,-87.532865844,7
41.698674184,-87.720495728,6
41.698735568,-87.668827772,7
41.698889033,-87.629158341,12
41.698916024,-87.607473108,6
41.699184632,-87.642593834,7
41.699239072,-87.625829627,8
41.699406414,-87.607339431,6
41.699500145,-87.606104353,13
41.699686473,-87.629416953,8
41.699737573,-87.562123429,6
41.699764291,-87.62823334,6
41.699776058,-87.623458213,7
41.699810726,-87.621077655,15
41.699833166,-87.619828729,6
41.699845269,-87.642469586,9
41.69990972,-87.629125234,9
41.699927519,-87.535280094,9
41.699999944,-87.563189544,6
41.700057636,-87.675383482,8
41.700125739,-87.613058438,6
41.700134558,-87.561983199,7
41.7001681,-87.720682945,7
41.700502156,-87.642634662,7
41.700551523,-87.658332506,6
41.700799492,-87.642792603,7
41.701064638,-87.564403569,12
41.701468915,-87.606276251,6
41.701642181,-87.650631074,8
41.701665352,-87.611316494,9
41.701685639,-87.535137512,9
41.701838941,-87.562006772,12
41.701880419,-87.622039873,6
41.701960935,-87.619534224,6
41.701964973,-87.647690787,11
41.702027818,-87.563981957,10
41.702049219,-87.53770369,6
41.702384356,-87.634397086,6
41.702403273,-87.647557963,6
41.702412152,-87.669635833,7
41.702524577,-87.625918119,6
41.702534042,-87.629246741,6
41.702556878,-87.60386907,9
41.702624804,-87.536015754,32
41.702636226,-87.538853633,12
41.702642716,-87.53543328,9
41.702645135,-87.619673136,6
41.70265631,-87.563168833,12
41.702671429,-87.563377385,6
41.702737032,-87.535974085,29
41.702805594,-87.527704507,30
41.702849327,-87.622065815,6
41.702992124,-87.626974971,8
41.702999456,-87.626828411,12
41.703003004,-87.618526638,11
41.703054531,-87.536643968,14
41.703107349,-87.65754408,6
41.703184754,-87.642865956,8
41.703272594,-87.633794222,7
41.703354066,-87.59419968,12
41.70337455,-87.627131914,11
41.703409321,-87.628325351,7
41.703415117,-87.620810832,13
41.703441579,-87.681676958,6
41.703563787,-87.535286398,6
41.703576425,-87.627382385,7
41.703755403,-87.564602218,7
41.703773605,-87.525645351,6
41.70399846,-87.620617627,8
41.704315974,-87.623587719,7
41.704389496,-87.619507364,10
41.704466904,-87.6187155,6
41.704478977,-87.537853176,6
41.704542957,-87.528125929,6
41.704848472,-87.623603835,20
41.704866136,-87.681721167,7
41.705050191,-87.535139843,6
41.705126843,-87.631393749,10
41.705160787,-87.658126826,13
41.705267858,-87.629323117,8
41.705340616,-87.62064675,9
41.705366882,-87.621785381,9
41.705520903,-87.618744112,6
41.705566113,-87.601077468,48
41.705677782,-87.600944364,50
41.705859709,-87.653787182,45
41.705887536,-87.720214826,10
41.705954183,-87.648897202,6
41.706070186,-87.653645803,11
41.706071446,-87.642809435,7
41.706082028,-87.702403826,21
41.706089007,-87.701176929,7
41.706121505,-87.713693928,17
41.706204287,-87.699685293,14
41.706267817,-87.682571289,6
41.706279717,-87.681765488,13
41.706311774,-87.699768468,20
41.706378843,-87.680856265,19
41.70661765,-87.594290476,16
41.706653929,-87.612531464,6
41.706709161,-87.61390051,8
41.70672192,-87.656195158,7
41.706820276,-87.535139922,8
41.706821677,-87.642980855,10
41.706828149,-87.642687809,20
41.706857405,-87.64941498,10
41.706987456,-87.620244029,28
41.706992361,-87.628154366,11
41.70702142,-87.628417729,14
41.707029861,-87.625326722,31
41.707062135,-87.631482564,6
41.707095328,-87.628834415,14
41.707134192,-87.618242833,12
41.707139627,-87.625325518,8
41.707180296,-87.620362752,70
41.707203646,-87.606566877,6
41.707205201,-87.620838567,13
41.707246223,-87.618164684,17
41.70727511,-87.535430936,10
41.707283101,-87.622782353,9
41.707298473,-87.614663009,13
41.707359108,-87.610765713,8
41.707385305,-87.565708918,8
41.707387983,-87.60317723,49
41.707400765,-87.615222192,8
41.707418751,-87.559647519,7
41.707432572,-87.613288175,9
41.7074354,-87.604161837,6
41.707455731,-87.605637491,13
41.707519433,-87.601839023,21
41.707584183,-87.604687519,15
41.707608152,-87.626986703,7
41.707634539,-87.601383599,8
41.707756212,-87.580708771,73
41.707845832,-87.580564897,7
41.707847751,-87.580857856,40
41.707930193,-87.568405188,28
41.707941362,-87.583002853,8
41.708029389,-87.569290282,22
41.708075725,-87.559808106,14
41.708152482,-87.627141885,7
41.708257158,-87.6781907,15
41.708626524,-87.630604905,9
41.708642898,-87.5352856,7
